what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1643362677912
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1643362685871
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1643362697094
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1643362716313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643362734341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643362809100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643362809111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643362812238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643362812254
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1643362814603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643362814614
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1643362814629
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1643362820534
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1643362831744
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1643362833425
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1643362836062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643362839254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363101045
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1643363102036
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1643363128290
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1643363135586
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1643363140511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363151501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363352523
executed,command,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project.commands.bspEditor",1643363356417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363356949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363414083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1643363421748
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1643363474965
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1643363474976
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1643363475059
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.RegisterView",1643363475070
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.closePerspective",1643363475074
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1643363477462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363484329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363587770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363596850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363611584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363617173
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1643363674713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363674739
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1643363674745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363679032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363679100
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1643363679105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363679137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363679188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363680852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363680985
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1643363683402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1643363687506
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1643363688452
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1643363688473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363688595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363693812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363704519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363708622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363708645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363711055
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1643363711070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363714395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363716166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363728098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363730060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1643363730114
